"Test Case ID","Test Objective","Description","Module","Priority","Test Type","Date","Tester","JIRA issue #","Precondition","Step #","User Action","Expected Result","Actual Result","Post Condition"
"TC_ClientPortalConfig_012","Persist User Role selection","Choose a non-default User Role and verify it persists after save.","Client Portal Configuration","P2","Functional","2025-10-17","Umair","[To be filled]","Dropdown contains at least two roles.","2","Enter name: CPC_UserRole_Alt","Input accepted","[Tester to fill]",""
"TC_ClientPortalConfig_012","Persist User Role selection","Choose a non-default User Role and verify it persists after save.","Client Portal Configuration","P2","Functional","2025-10-17","Umair","[To be filled]","Dropdown contains at least two roles.","3","Select valid Login Type","Selection applied","[Tester to fill]",""
"TC_ClientPortalConfig_012","Persist User Role selection","Choose a non-default User Role and verify it persists after save.","Client Portal Configuration","P2","Functional","2025-10-17","Umair","[To be filled]","Dropdown contains at least two roles.","4","Change User Role from default to another role","Dropdown shows new selection","[Tester to fill]",""
"TC_ClientPortalConfig_012","Persist User Role selection","Choose a non-default User Role and verify it persists after save.","Client Portal Configuration","P2","Functional","2025-10-17","Umair","[To be filled]","Dropdown contains at least two roles.","5","Save and reopen","User Role remains as selected","[Tester to fill]","Record saved with chosen User Role."
"TC_ClientPortalConfig_013","Persist Multi Role flag","Enable Multi Role and save; verify persistence.","Client Portal Configuration","P3","Functional","2025-10-17","Umair","[To be filled]","None.","1","Click Add","Subscreen opens","[Tester to fill]",""
"TC_ClientPortalConfig_013","Persist Multi Role flag","Enable Multi Role and save; verify persistence.","Client Portal Configuration","P3","Functional","2025-10-17","Umair","[To be filled]","None.","2","Enter name: CPC_MultiRole_ON","Input accepted","[Tester to fill]",""
"TC_ClientPortalConfig_013","Persist Multi Role flag","Enable Multi Role and save; verify persistence.","Client Portal Configuration","P3","Functional","2025-10-17","Umair","[To be filled]","None.","3","Select Login Type and User Role","Selections applied","[Tester to fill]",""
"TC_ClientPortalConfig_013","Persist Multi Role flag","Enable Multi Role and save; verify persistence.","Client Portal Configuration","P3","Functional","2025-10-17","Umair","[To be filled]","None.","4","Check Multi Role","Checkbox shows checked","[Tester to fill]",""
"TC_ClientPortalConfig_013","Persist Multi Role flag","Enable Multi Role and save; verify persistence.","Client Portal Configuration","P3","Functional","2025-10-17","Umair","[To be filled]","None.","5","Save and reopen","Multi Role remains ON","[Tester to fill]","Multi Role flag stored."
"TC_ClientPortalConfig_014","Select and persist Provider Search items","Choose one and then multiple Provider Search options; save and verify.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","Provider Search list contains at least 3 items.","1","Click Add; enter name CPC_ProvSearch_Single","Subscreen open; input accepted","[Tester to fill]",""
"TC_ClientPortalConfig_014","Select and persist Provider Search items","Choose one and then multiple Provider Search options; save and verify.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","Provider Search list contains at least 3 items.","2","Select one Provider Search item","Item highlights as selected","[Tester to fill]",""
"TC_ClientPortalConfig_014","Select and persist Provider Search items","Choose one and then multiple Provider Search options; save and verify.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","Provider Search list contains at least 3 items.","3","Save and reopen","Same single item remains selected","[Tester to fill]",""
"TC_ClientPortalConfig_014","Select and persist Provider Search items","Choose one and then multiple Provider Search options; save and verify.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","Provider Search list contains at least 3 items.","4","Edit same record; select 2–3 items (multi-select)","All highlighted","[Tester to fill]",""
"TC_ClientPortalConfig_014","Select and persist Provider Search items","Choose one and then multiple Provider Search options; save and verify.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","Provider Search list contains at least 3 items.","5","Save and reopen","All selected items persisted","[Tester to fill]","Provider Search selections persist."
"TC_ClientPortalConfig_015","Select and persist Reports","Select multiple Reports; save and verify after reopen.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","Reports list contains at least 3 items.","1","Click Add; enter name CPC_Reports_Multi","Subscreen open; input accepted","[Tester to fill]",""
"TC_ClientPortalConfig_015","Select and persist Reports","Select multiple Reports; save and verify after reopen.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","Reports list contains at least 3 items.","2","Multi-select 2–3 Reports","Items highlighted","[Tester to fill]",""
"TC_ClientPortalConfig_015","Select and persist Reports","Select multiple Reports; save and verify after reopen.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","Reports list contains at least 3 items.","3","Select valid Login Type and User Role","Selections applied","[Tester to fill]",""
"TC_ClientPortalConfig_015","Select and persist Reports","Select multiple Reports; save and verify after reopen.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","Reports list contains at least 3 items.","4","Save and reopen","Same Reports remain selected","[Tester to fill]","Reports selections persist."
"TC_ClientPortalConfig_016","Select and persist Account Managers","Choose multiple Account Managers; save and verify after reopen.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","At least 2 account managers available.","1","Click Add; enter name CPC_AM_Multi","Subscreen open; input accepted","[Tester to fill]",""
"TC_ClientPortalConfig_016","Select and persist Account Managers","Choose multiple Account Managers; save and verify after reopen.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","At least 2 account managers available.","2","Multi-select 2 Account Managers","Items highlighted","[Tester to fill]",""
"TC_ClientPortalConfig_016","Select and persist Account Managers","Choose multiple Account Managers; save and verify after reopen.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","At least 2 account managers available.","3","Fill other required selections","Selections applied","[Tester to fill]",""
"TC_ClientPortalConfig_016","Select and persist Account Managers","Choose multiple Account Managers; save and verify after reopen.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","At least 2 account managers available.","4","Save and reopen","Same Account Managers remain selected","[Tester to fill]","Account Manager selections persist."
"TC_ClientPortalConfig_017","Select and persist Clients","Choose multiple Clients; save and verify after reopen.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","At least 3 clients available.","1","Click Add; enter name CPC_Clients_Multi","Subscreen open; input accepted","[Tester to fill]",""
"TC_ClientPortalConfig_017","Select and persist Clients","Choose multiple Clients; save and verify after reopen.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","At least 3 clients available.","2","Multi-select 2–3 Clients","Items highlighted","[Tester to fill]",""
"TC_ClientPortalConfig_017","Select and persist Clients","Choose multiple Clients; save and verify after reopen.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","At least 3 clients available.","3","Fill other required selections","Selections applied","[Tester to fill]",""
"TC_ClientPortalConfig_017","Select and persist Clients","Choose multiple Clients; save and verify after reopen.","Client Portal Configuration","P2","Functional (Selection)","2025-10-17","Umair","[To be filled]","At least 3 clients available.","4","Save and reopen","Same Clients remain selected","[Tester to fill]","Client selections persist."
"TC_ClientPortalConfig_018","Save without selecting any list-box items","Keep all lists unselected; save.","Client Portal Configuration","P3","Functional","2025-10-17","Umair","[To be filled]","None.","1","Click Add","Subscreen opens","[Tester to fill]",""
"TC_ClientPortalConfig_018","Save without selecting any list-box items","Keep all lists unselected; save.","Client Portal Configuration","P3","Functional","2025-10-17","Umair","[To be filled]","None.","2","Enter name CPC_NoLists","Input accepted","[Tester to fill]",""
"TC_ClientPortalConfig_018","Save without selecting any list-box items","Keep all lists unselected; save.","Client Portal Configuration","P3","Functional","2025-10-17","Umair","[To be filled]","None.","3","Select valid Login Type and User Role","Selections applied","[Tester to fill]",""
"TC_ClientPortalConfig_018","Save without selecting any list-box items","Keep all lists unselected; save.","Client Portal Configuration","P3","Functional","2025-10-17","Umair","[To be filled]","None.","4","Click Save","Save succeeds if optional; no errors","[Tester to fill]","Record saved with empty list selections."
"TC_ClientPortalConfig_019","Cancel discards changes","Make changes and click Cancel; verify nothing saved.","Client Portal Configuration","P1","Negative Functional","2025-10-17","Umair","[To be filled]","None.","1","Click Add","Subscreen opens","[Tester to fill]",""
"TC_ClientPortalConfig_019","Cancel discards changes","Make changes and click Cancel; verify nothing saved.","Client Portal Configuration","P1","Negative Functional","2025-10-17","Umair","[To be filled]","None.","2","Enter name CPC_Cancel_Test and toggle some options","Edits visible","[Tester to fill]",""
"TC_ClientPortalConfig_019","Cancel discards changes","Make changes and click Cancel; verify nothing saved.","Client Portal Configuration","P1","Negative Functional","2025-10-17","Umair","[To be filled]","None.","3","Click Cancel","Subscreen closes; no save performed","[Tester to fill]",""
"TC_ClientPortalConfig_019","Cancel discards changes","Make changes and click Cancel; verify nothing saved.","Client Portal Configuration","P1","Negative Functional","2025-10-17","Umair","[To be filled]","None.","4","Search list for CPC_Cancel_Test","Name not found","[Tester to fill]","No new record created."
"TC_ClientPortalConfig_020","Lists appear in predictable order","Verify lists are sorted and stable across open and close.","Client Portal Configuration","P3","UI Consistency","2025-10-17","Umair","[To be filled]","Multiple items exist in each list.","1","Click Add","Subscreen opens","[Tester to fill]",""
"TC_ClientPortalConfig_020","Lists appear in predictable order","Verify lists are sorted and stable across open and close.","Client Portal Configuration","P3","UI Consistency","2025-10-17","Umair","[To be filled]","Multiple items exist in each list.","2","Inspect each list order: Provider Search, Reports, Account Managers, Clients","Items appear in predictable order (e.g., A–Z)","[Tester to fill]",""
"TC_ClientPortalConfig_020","Lists appear in predictable order","Verify lists are sorted and stable across open and close.","Client Portal Configuration","P3","UI Consistency","2025-10-17","Umair","[To be filled]","Multiple items exist in each list.","3","Close and reopen Add","Order remains consistent","[Tester to fill]","Lists ordered and stable."
"TC_ClientPortalConfig_021","Toggle individual feature flags and verify persistence","Independently toggle Patient Search, Current Activity, and Client Authorization and confirm save behavior.","Client Portal Configuration","P2","Functional (Parameterized)","2025-10-17","Umair","[To be filled]","None.","1","For each flag: Click Add","Subscreen opens","[Tester to fill]",""
"TC_ClientPortalConfig_021","Toggle individual feature flags and verify persistence","Independently toggle Patient Search, Current Activity, and Client Authorization and confirm save behavior.","Client Portal Configuration","P2","Functional (Parameterized)","2025-10-17","Umair","[To be filled]","None.","2","Enter unique name CPC_Flag_<FlagName>","Input accepted","[Tester to fill]",""
"TC_ClientPortalConfig_021","Toggle individual feature flags and verify persistence","Independently toggle Patient Search, Current Activity, and Client Authorization and confirm save behavior.","Client Portal Configuration","P2","Functional (Parameterized)","2025-10-17","Umair","[To be filled]","None.","3","Select Login Type and User Role; toggle chosen flag ON","Selections applied","[Tester to fill]",""
"TC_ClientPortalConfig_021","Toggle individual feature flags and verify persistence","Independently toggle Patient Search, Current Activity, and Client Authorization and confirm save behavior.","Client Portal Configuration","P2","Functional (Parameterized)","2025-10-17","Umair","[To be filled]","None.","4","Save and reopen","Chosen flag remains ON","[Tester to fill]",""
"TC_ClientPortalConfig_021","Toggle individual feature flags and verify persistence","Independently toggle Patient Search, Current Activity, and Client Authorization and confirm save behavior.","Client Portal Configuration","P2","Functional (Parameterized)","2025-10-17","Umair","[To be filled]","None.","5","Edit; toggle the same flag OFF; Save and reopen","Flag remains OFF","[Tester to fill]","Flag-level persistence verified for all three flags."
"TC_ClientPortalConfig_022","No stale state after Cancel","Start creating a record, cancel, then reopen Add to ensure clean form.","Client Portal Configuration","P3","Negative/State Management","2025-10-17","Umair","[To be filled]","None.","1","Click Add; type name CPC_StaleState; select lists; toggle flags","Edits visible","[Tester to fill]",""
"TC_ClientPortalConfig_022","No stale state after Cancel","Start creating a record, cancel, then reopen Add to ensure clean form.","Client Portal Configuration","P3","Negative/State Management","2025-10-17","Umair","[To be filled]","None.","2","Click Cancel","Subscreen closes","[Tester to fill]",""
"TC_ClientPortalConfig_022","No stale state after Cancel","Start creating a record, cancel, then reopen Add to ensure clean form.","Client Portal Configuration","P3","Negative/State Management","2025-10-17","Umair","[To be filled]","None.","3","Click Add again","Fresh empty form; previous values not retained","[Tester to fill]","No stale form state after Cancel."
"TC_ClientPortalConfig_023","Verify list view shows saved attributes","Ensure the list row shows Name, Active, and Login Type correctly after save.","Client Portal Configuration","P2","Functional/UI Consistency","2025-10-17","Umair","[To be filled]","None.","1","Add and save record CPC_ListVerify with Active ON and chosen Login Type","Saved successfully","[Tester to fill]",""
"TC_ClientPortalConfig_023","Verify list view shows saved attributes","Ensure the list row shows Name, Active, and Login Type correctly after save.","Client Portal Configuration","P2","Functional/UI Consistency","2025-10-17","Umair","[To be filled]","None.","2","Return to list view","Row displays correct Name, Active Yes, correct Login Type","[Tester to fill]",""
"TC_ClientPortalConfig_023","Verify list view shows saved attributes","Ensure the list row shows Name, Active, and Login Type correctly after save.","Client Portal Configuration","P2","Functional/UI Consistency","2025-10-17","Umair","[To be filled]","None.","3","Open the row and compare with detail","List values match detail view","[Tester to fill]","List and detail views consistent."
"TC_ClientPortalConfig_024","Validate mixed selections across all lists","Select 1 Provider Search, 2 Reports, 1 Account Manager, 3 Clients; save and verify.","Client Portal Configuration","P2","Functional (Selection Combination)","2025-10-17","Umair","[To be filled]","Sufficient items exist in each list.","1","Click Add; enter name CPC_MixedSelections","Subscreen open","[Tester to fill]",""
"TC_ClientPortalConfig_024","Validate mixed selections across all lists","Select 1 Provider Search, 2 Reports, 1 Account Manager, 3 Clients; save and verify.","Client Portal Configuration","P2","Functional (Selection Combination)","2025-10-17","Umair","[To be filled]","Sufficient items exist in each list.","2","Make the mixed selections across all lists","Each list shows expected counts selected","[Tester to fill]",""
"TC_ClientPortalConfig_024","Validate mixed selections across all lists","Select 1 Provider Search, 2 Reports, 1 Account Manager, 3 Clients; save and verify.","Client Portal Configuration","P2","Functional (Selection Combination)","2025-10-17","Umair","[To be filled]","Sufficient items exist in each list.","3","Choose Login Type and User Role; Save","Save successful","[Tester to fill]",""
"TC_ClientPortalConfig_024","Validate mixed selections across all lists","Select 1 Provider Search, 2 Reports, 1 Account Manager, 3 Clients; save and verify.","Client Portal Configuration","P2","Functional (Selection Combination)","2025-10-17","Umair","[To be filled]","Sufficient items exist in each list.","4","Reopen","Same selection counts and specific items persist","[Tester to fill]","Mixed selections persisted as saved."
"TC_ClientPortalConfig_025","Default User Role persisted when unchanged","Do not modify User Role from default; save and verify stored role equals default.","Client Portal Configuration","P3","Functional","2025-10-17","Umair","[To be filled]","User Role shows a default value on open.","1","Click Add; enter name CPC_DefaultRole","Subscreen open; input accepted","[Tester to fill]",""
"TC_ClientPortalConfig_025","Default User Role persisted when unchanged","Do not modify User Role from default; save and verify stored role equals default.","Client Portal Configuration","P3","Functional","2025-10-17","Umair","[To be filled]","User Role shows a default value on open.","2","Select Login Type; leave User Role as default","Default remains selected","[Tester to fill]",""
"TC_ClientPortalConfig_025","Default User Role persisted when unchanged","Do not modify User Role from default; save and verify stored role equals default.","Client Portal Configuration","P3","Functional","2025-10-17","Umair","[To be filled]","User Role shows a default value on open.","3","Save and reopen","Stored User Role equals default displayed earlier","[Tester to fill]","Default User Role persisted when unchanged."}